Date,G Printers,ClearTapes,BrandedTapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck
12/1/2023,1,0,0,19,5,0,1,0,215,0,10
12/2/2023,1,0,0,5,3,0,0,0,232,0,10
12/4/2023,0,2,0,4,6,2,3,0,118,0,15
12/5/2023,1,3,0,18,7,2,4,0,213,0,12
12/7/2023,1,0,0,7,9,0,3,0,241,0,6
12/7/2023,1,0,0,6,4,0,1,0,128,0,5
12/8/2023,0,0,0,17,1,1,1,2,230,0,9
12/11/2023,1,0,0,7,7,6,2,0,401,1,36
12/13/2023,1,2,0,13,7,2,3,0,233,0,14
12/14/2023,1,6,0,27,7,0,4,0,230,0,16
12/15/2023,0,1,0,4,3,2,1,1,128,1,8
12/16/2023,1,1,0,4,5,1,2,0,94,0,11
12/18/2023,0,3,0,3,5,1,0,2,171,0,12
12/19/2023,1,0,0,25,7,1,3,0,166,0,15
12/20/2023,0,0,0,6,3,3,2,1,122,0,11
12/21/2023,1,1,0,0,2,0,2,0,202,0,5
12/23/2023,1,2,0,14,13,1,1,3,366,0,13
12/27/2023,0,1,0,1,1,1,0,0,48,1,23
12/28/2023,1,1,0,18,7,1,3,1,171,0,21
12/29/2023,1,2,0,2,5,4,1,0,123,0,12
12/30/2023,0,0,0,27,7,2,4,0,229,0,11
