Date,G Printers,ClearTapes,BrandedTapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck,Orders
2024-03-01,1,1,0,12,1,3,1,0,116,0,30,0
2024-03-01,0,0,0,0,0,0,0,0,0,0,0,317
2024-03-02,0,1,0,5,4,0,1,0,85,0,11,169
2024-03-04,1,0,0,2,5,0,1,0,158,0,17,339
2024-03-05,0,2,0,20,18,0,2,0,123,1,19,254
2024-03-06,1,1,0,0,3,0,0,0,104,0,11,175
2024-03-07,0,0,0,15,10,5,2,1,215,4,14,296
2024-03-08,1,0,0,4,11,0,0,1,108,0,7,202
2024-03-09,0,1,0,15,13,2,1,0,128,0,12,225
2024-03-11,1,2,0,11,11,0,3,0,201,0,24,349
2024-03-12,0,1,0,24,19,2,2,0,89,0,10,243
2024-03-13,1,1,0,2,5,0,0,0,79,0,3,180
2024-03-14,0,0,0,24,1,2,2,1,135,0,21,298
2024-03-15,1,0,0,2,0,2,4,1,201,1,8,285
2024-03-16,0,4,0,0,1,0,0,0,55,0,7,197
2024-03-18,1,3,0,0,0,2,3,2,169,0,20,265
2024-03-19,0,0,0,1,13,1,2,0,107,0,3,228
2024-03-20,1,1,0,13,7,0,0,0,56,0,11,160
2024-03-21,0,0,0,2,3,0,1,2,74,3,15,247
2024-03-22,1,0,0,7,13,0,1,0,81,3,17,224
2024-03-23,0,0,0,12,7,0,0,0,110,0,11,200
2024-03-25,1,0,0,3,3,0,3,1,164,0,10,276
2024-03-26,1,2,0,23,13,2,2,0,193,1,15,259
2024-03-28,1,4,0,27,27,1,1,1,182,0,16,253
2024-03-30,1,3,0,12,19,2,2,0,103,1,28,402
