Date,G Printers,ClearTapes,BrandedTapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),Plastic Bags (Large),50KGS Suck
2023-11-01,0,3,0,4,1,4,2,0,206,12,8
2023-11-02,1,1,0,1,8,0,2,0,99,2,1
2023-11-03,1,0,0,2,4,1,2,1,107,12,2
2023-11-04,0,2,0,6,0,0,1,0,105,4,7
2023-11-06,1,0,0,8,0,3,1,0,217,11,7
2023-11-06,0,0,0,0,0,0,0,0,44,0,0
2023-11-07,0,2,0,0,1,0,0,0,112,7,0
2023-11-08,1,2,0,9,5,3,1,0,91,12,3
2023-11-09,0,0,0,1,0,0,1,0,138,3,3
2023-11-10,1,0,0,3,9,0,3,0,236,11,4
2023-11-11,0,1,0,1,1,1,1,1,93,6,3
2023-11-22,1,2,0,4,7,1,3,0,391,10,7
2023-11-22,1,1,0,1,9,1,1,0,218,14,7
2023-11-22,1,0,0,1,4,1,0,2,89,5,1
2023-11-22,0,0,0,9,5,0,3,2,166,17,4
2023-11-22,1,0,0,0,13,1,0,0,89,0,0
2023-11-22,0,1,0,1,7,0,1,1,152,3,4
2023-11-22,0,0,0,0,7,2,1,1,99,1,5
2023-11-22,1,1,0,3,3,1,2,0,185,11,4
2023-11-23,1,1,0,1,11,1,3,0,164,3,4
2023-11-24,0,0,0,1,1,1,0,1,92,5,8
2023-11-25,0,0,0,4,5,0,1,2,88,6,5
2023-11-27,1,1,0,3,5,0,1,0,220,0,23
2023-11-28,1,1,0,15,1,0,2,0,139,0,6
2023-11-30,0,2,0,10,6,2,3,0,305,0,24
