Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck,Orders
2/1/2024,0,0,0,14,7,1,1,0,229,0,19,289
2/2/2024,1,0,0,6,5,2,2,0,131,0,17,252
2/3/2024,0,0,0,6,6,2,1,0,135,0,20,225
2/5/2024,1,1,0,20,21,0,1,1,127,0,14,281
2/6/2024,1,0,0,4,6,1,1,1,169,0,21,390
2/7/2024,0,1,0,13,1,3,1,0,124,0,9,251
2/8/2024,1,4,0,13,2,0,3,0,132,0,25,255
2/9/2024,1,3,0,7,0,2,0,0,241,1,18,370
2/10/2024,0,1,0,1,0,3,2,0,116,0,17,521
2/13/2024,1,0,0,45,13,1,0,3,332,1,32,322
2/14/2024,1,1,0,0,3,1,1,1,125,0,14,266
2/16/2024,1,4,0,0,13,1,1,0,320,1,21,104
2/17/2024,0,1,0,0,3,5,1,0,29,1,23,140
2/19/2024,1,3,0,3,9,5,2,0,154,0,22,300
2/20/2024,0,0,0,3,2,0,0,0,271,0,7,241
2/22/2024,0,1,0,15,5,0,0,0,100,0,1,176
2/22/2024,1,2,0,2,4,3,1,1,86,0,14,213
2/23/2024,0,1,0,5,2,1,2,0,133,0,20,212
2/21/2024,0,0,0,0,0,0,0,0,0,0,0,176
2/24/2024,0,0,0,3,0,0,0,0,42,0,4,97
2/26/2024,1,2,0,11,8,1,0,0,254,2,13,301
2/27/2024,1,1,0,3,8,0,3,0,143,0,21,297
2024-02-28,0,1,0,8,2,7,1,0,126,0,15,224
2024-02-29,0,1,0,21,25,0,1,0,103,1,10,209
